item_id,bio,pronoun,verb,adj,objnp,time,spillover,name,gender_code,gender,vital_Code,vital_status,type_code,type,tense_code,tense,mm_code,mm,list,match,correct_response,yes_press,unique_id
1,Eddie Redmayne is a British actor. He lives in London.,He ,has appeared, in numerous, blockbusters ,"in the past,", supposedly.,Eddie Redmayne,0,male,0,living,1,critical,1,PP,1,livingPP,14,yes,4,4,11011
2,Richard Nixon was an American politician. He died in New York.,He ,has appeared, in prominent, political debates ,"in the past,", supposedly.,Richard Nixon,0,male,1,dead,1,critical,1,PP,11,deadPP,14,no,5,4,12111
3,Shakira is a Colombian singer. She lives in Barcelona.,She ,will appear, in popular, music videos ,"in the future,", supposedly.,Shakira,1,female,0,living,1,critical,2,SF,2,livingSF,14,yes,4,4,13021
4,Brittany Murphy was an American actor. She died in Los Angeles.,She ,will appear, in prominent, teen dramas ,"in the future,", supposedly.,Brittany Murphy,1,female,1,dead,1,critical,2,SF,12,deadSF,14,no,5,4,14121
5,Emma Thompson is a British actor. She lives in London.,She ,has appeared, in popular, classic films ,"in the past,", supposedly.,Emma Thompson,1,female,0,living,1,critical,1,PP,1,livingPP,14,yes,4,4,15011
6,Queen Mum was a British royal. She died in Windsor Castle.,She ,has appeared, in prominent, public events ,"in the past,", supposedly.,Queen Mum,1,female,1,dead,1,critical,1,PP,11,deadPP,14,no,5,4,16111
7,Colin Firth is a British actor. He lives in London and Italy.,He ,will appear, in prominent, romantic comedies ,"in the future,", supposedly.,Colin Firth,0,male,0,living,1,critical,2,SF,2,livingSF,14,yes,4,4,17021
8,Bruce Lee was a Chinese-American actor. He died in Hong Kong.,He ,will appear, in numerous, kung-fu movies ,"in the future,", supposedly.,Bruce Lee,0,male,1,dead,1,critical,2,SF,12,deadSF,14,no,5,4,18121
81,The Canadian sculpter Louise Coles enjoyed playing baseball. ,She made ,"many sculptures,",,,, according to news reports.,Louise Coles,1,female,0,living,9,filler,9,PS,91,filler,14,yes,4,4,981093
82,Michael Stejskal used to be a Canadian business mogul. He was active for 46 years before retiring.,He has ,"two children,",,,, so Wikipedia says.,Michael Stejskal,1,female,1,dead,9,filler,9,PS,90,filler,14,yes,4,4,982193
83,Christopher Sandor used to be a Canadian moderator. He was active for 27 years before retiring.,He met, many ,"world leaders,",,, so Wikipedia says.,Christopher Sandor,1,female,0,living,9,filler,9,PS,91,filler,14,yes,4,4,983093
84,The Chinese sculpter Li T'ao enjoyed amateur photography. ,He was  ,born and raised,"in Beijing,",,, as stated on Google.,Li T'ao,1,female,0,living,9,filler,9,PS,31,filler,14,yes,4,4,984093
85,You Lai was a Chinese Nobel Prize laureate. He retired in 1958.,Innumerable elements ,were discovered ,"by him,",,, if one believes his biography.,You Lai,0,male,2,retired,9,filler,9,PS,90,filler,14,yes,4,4,985193
86,Jonathan Wah immigrated to the UK in 2009. He was an anchorman.,He grew up ,"in Hong Kong,",,,, if one believes his biography.,Jonathan Wah,0,male,2,retired,9,filler,9,Pres,30,filler,14,yes,4,4,986193
87,The Colombian painter Michelle Sosa Rodríguez enjoyed reading. ,She created ,several ,"masterpieces,",,, so news reports have said.,Michelle Sosa Rodríguez,0,male,0,living,9,filler,9,PS,51,filler,14,yes,4,4,987093
